"poliza","sexo","circulacion","garantia","siniestros","ant_comp","ant_perm","edad","ant_veh"
9231429684,"Mujer","No urbano","No contratada",0,7,9,30,7
9829992137,"Hombre","Urbano","Garantía daños propios contratada",0,1,0,18,2
9834292094,"Hombre","Urbano","Garantía daños propios contratada",0,1,35,59,1
9641181686,"Hombre","Urbano","No contratada",0,3,43,61,2
9531581197,"Hombre","No urbano","Garantía daños propios contratada",0,4,0,18,1
9834681002,"Hombre","No urbano","No contratada",0,1,32,60,1
1929780742,"Mujer","Urbano","Garantía daños propios contratada",1,0,21,39,5
1929984311,"Hombre","No urbano","Garantía daños propios contratada",0,0,27,50,1
9534279634,"Hombre","No urbano","Garantía daños propios contratada",0,4,34,52,1
9534382133,"Hombre","No urbano","Garantía daños propios contratada",0,4,12,30,0
1934494413,"Hombre","Urbano","No contratada",0,0,38,60,0
9634480202,"Hombre","No urbano","No contratada",0,3,23,41,7
1906629083,"Hombre","Urbano","No contratada",0,0,33,51,9
8332431817,"Hombre","No urbano","No contratada",0,16,0,18,9
8941429312,"Mujer","No urbano","No contratada",0,10,28,50,1
9142029979,"Hombre","No urbano","No contratada",0,8,12,30,1
9332481403,"Hombre","No urbano","No contratada",0,6,23,41,5
9438380705,"Hombre","No urbano","Garantía daños propios contratada",0,5,29,47,5
9832688004,"Hombre","Urbano","Garantía daños propios contratada",0,1,24,42,1
1933581934,"Hombre","No urbano","No contratada",0,0,12,40,0
9045029969,"Hombre","No urbano","No contratada",0,9,18,60,1
9241932696,"Hombre","No urbano","Garantía daños propios contratada",0,7,17,50,4
9332681190,"Mujer","No urbano","Garantía daños propios contratada",0,6,23,41,1
9834184455,"Hombre","Urbano","No contratada",0,1,11,29,8
8533982813,"Hombre","Urbano","No contratada",0,14,12,30,4
8834629873,"Hombre","No urbano","Garantía daños propios contratada",0,11,46,64,2
9729989230,"Hombre","Urbano","Garantía daños propios contratada",0,2,16,50,3
9741980968,"Hombre","No urbano","Garantía daños propios contratada",0,2,21,50,2
9832780004,"Mujer","Urbano","No contratada",0,1,23,50,12
1948779173,"Hombre","No urbano","No contratada",0,0,36,54,15
8631833399,"Hombre","No urbano","Garantía daños propios contratada",0,13,11,29,1
9229831000,"Mujer","No urbano","No contratada",0,7,9,30,9
9234179939,"Hombre","No urbano","Garantía daños propios contratada",0,7,37,55,7
9734684261,"Hombre","No urbano","No contratada",0,2,11,29,8
9032031808,"Mujer","No urbano","No contratada",0,9,20,38,9
1930491155,"Mujer","No urbano","No contratada",0,0,20,38,6
8931831060,"Hombre","No urbano","No contratada",0,10,12,30,8
9336579767,"Hombre","Urbano","No contratada",0,6,13,31,2
9630485638,"Mujer","Urbano","No contratada",0,3,13,31,11
9833983304,"Hombre","No urbano","Garantía daños propios contratada",1,1,15,39,1
1194629066,"Hombre","Urbano","Garantía daños propios contratada",0,0,35,60,0
8631729210,"Hombre","Urbano","Garantía daños propios contratada",0,13,22,40,0
8731433452,"Hombre","Urbano","No contratada",0,12,37,60,6
1932498088,"Hombre","No urbano","No contratada",0,0,12,30,0
9732490006,"Hombre","No urbano","No contratada",0,2,30,48,2
1931491225,"Hombre","Urbano","No contratada",0,0,31,49,5
